name	parent	fio	post
Санкт-Петербургская избирательная комиссия	 	Чечина Наталья Валентиновна	Председатель
Санкт-Петербургская избирательная комиссия	 	Егорова Алла Викторовна	Зам.председателя
Санкт-Петербургская избирательная комиссия	 	Жданова Марина Александровна	Секретарь
Санкт-Петербургская избирательная комиссия	 	Астафьева Екатерина Викторовна	Член
Санкт-Петербургская избирательная комиссия	 	Ахадова Наргис Агамоглановна	Член
Санкт-Петербургская избирательная комиссия	 	Беляков Андрей Викторович	Член
Санкт-Петербургская избирательная комиссия	 	Березин Алексей Викторович	Член
Санкт-Петербургская избирательная комиссия	 	Боричева Людмила Михайловна	Член
Санкт-Петербургская избирательная комиссия	 	Зацепа Олег Олегович	Член
Санкт-Петербургская избирательная комиссия	 	Краснянский Дмитрий Валерьевич	Член
Санкт-Петербургская избирательная комиссия	 	Кузьмин Юрий Александрович	Член
Санкт-Петербургская избирательная комиссия	 	Николаев Валерий Александрович	Член
Санкт-Петербургская избирательная комиссия	 	Покровская Ольга Леонидовна	Член
Санкт-Петербургская избирательная комиссия	 	Фесик Екатерина Викторовна	Член
ТИК №  1	Санкт-Петербургская избирательная комиссия	Нечаева Ольга Дмитриевна	Председатель
ТИК №  1	Санкт-Петербургская избирательная комиссия	Бергер Евгения Петровна	Зам.председателя
ТИК №  1	Санкт-Петербургская избирательная комиссия	Ягубова Лейла Ильгаровна	Секретарь
ТИК №  1	Санкт-Петербургская избирательная комиссия	Болдин Виктор Андреевич	Член
ТИК №  1	Санкт-Петербургская избирательная комиссия	Иванов Михаил Николаевич	Член
ТИК №  1	Санкт-Петербургская избирательная комиссия	Игнатенко Ирина Юрьевна	Член
ТИК №  1	Санкт-Петербургская избирательная комиссия	Культиасова Галина Михайловна	Член
ТИК №  1	Санкт-Петербургская избирательная комиссия	Майков Денис Эдуардович	Член
ТИК №  1	Санкт-Петербургская избирательная комиссия	Новикова Светлана Геннадьевна	Член
ТИК №  1	Санкт-Петербургская избирательная комиссия	Солодянникова Татьяна Леонидовна	Член
ТИК №  1	Санкт-Петербургская избирательная комиссия	Старцев Николай Николаевич	Член
ТИК №  1	Санкт-Петербургская избирательная комиссия	Чистякова Ольга Борисовна	Член
ТИК №  1	Санкт-Петербургская избирательная комиссия	Човпинь Руслан Григорьевич	Член
ТИК №  2	Санкт-Петербургская избирательная комиссия	Рудинская Лидия Александровна	Председатель
ТИК №  2	Санкт-Петербургская избирательная комиссия	Блинников Владимир Станиславович	Зам.председателя
ТИК №  2	Санкт-Петербургская избирательная комиссия	Аринушкин Павел Андреевич	Секретарь
ТИК №  2	Санкт-Петербургская избирательная комиссия	Дмитриева Ольга Павловна	Член
ТИК №  2	Санкт-Петербургская избирательная комиссия	Дьякова Ирина Леонидовна	Член
ТИК №  2	Санкт-Петербургская избирательная комиссия	Карлов Владислав Вадимович	Член
ТИК №  2	Санкт-Петербургская избирательная комиссия	Ламехов Владимир Павлович	Член
ТИК №  2	Санкт-Петербургская избирательная комиссия	Мозговой Виталий Владимирович	Член
ТИК №  2	Санкт-Петербургская избирательная комиссия	Раскина Анна Сергеевна	Член
ТИК №  2	Санкт-Петербургская избирательная комиссия	Сергеевичев Юрий Олегович	Член
ТИК №  2	Санкт-Петербургская избирательная комиссия	Шапошников Вячеслав Геннадьевич	Член
ТИК №  3	Санкт-Петербургская избирательная комиссия	Шалашова Ольга Николаевна	Председатель
ТИК №  3	Санкт-Петербургская избирательная комиссия	Зиновкина Екатерина Николаевна	Зам.председателя
ТИК №  3	Санкт-Петербургская избирательная комиссия	Юмашев Максим Андреевич	Секретарь
ТИК №  3	Санкт-Петербургская избирательная комиссия	Гузенков Олег Петрович	Член
ТИК №  3	Санкт-Петербургская избирательная комиссия	Иванов Евгений Анатольевич	Член
ТИК №  3	Санкт-Петербургская избирательная комиссия	Крылов Дмитрий Николаевич	Член
ТИК №  3	Санкт-Петербургская избирательная комиссия	Логинова Ольга Юрьевна	Член
ТИК №  3	Санкт-Петербургская избирательная комиссия	Маркив Ирина Богдановна	Член
ТИК №  3	Санкт-Петербургская избирательная комиссия	Молочников Михаил Александрович	Член
ТИК №  3	Санкт-Петербургская избирательная комиссия	Солодкий Владимир Николаевич	Член
ТИК №  3	Санкт-Петербургская избирательная комиссия	Стульба Игорь Алексеевич	Член
ТИК №  3	Санкт-Петербургская избирательная комиссия	Тверская Ольга Сергеевна	Член
ТИК №  3	Санкт-Петербургская избирательная комиссия	Шаршавов Василий Алексеевич	Член
ТИК №  4	Санкт-Петербургская избирательная комиссия	Зарипов Ильдар Абдуллович	Председатель
ТИК №  4	Санкт-Петербургская избирательная комиссия	Шагиахметова Эльмира Вячеславовна	Зам.председателя
ТИК №  4	Санкт-Петербургская избирательная комиссия	Боровская Алиса Владимировна	Секретарь
ТИК №  4	Санкт-Петербургская избирательная комиссия	Агасиева Ольга Леонидовна	Член
ТИК №  4	Санкт-Петербургская избирательная комиссия	Амосов Виктор Викторович	Член
ТИК №  4	Санкт-Петербургская избирательная комиссия	Дмитриев Эдвин Владимирович	Член
ТИК №  4	Санкт-Петербургская избирательная комиссия	Началова Ирина Алексеевна	Член
ТИК №  4	Санкт-Петербургская избирательная комиссия	Пепелкова Олеся Петровна	Член
ТИК №  4	Санкт-Петербургская избирательная комиссия	Рябчикова Ольга Николаевна	Член
ТИК №  4	Санкт-Петербургская избирательная комиссия	Сидоров Антон Максимович	Член
ТИК №  4	Санкт-Петербургская избирательная комиссия	Ткаля Ольга Николаевна	Член
ТИК №  4	Санкт-Петербургская избирательная комиссия	Тямшанский Николай Борисович	Член
ТИК №  4	Санкт-Петербургская избирательная комиссия	Устименко Вера Владимировна	Член
ТИК №  5	Санкт-Петербургская избирательная комиссия	Куницына Марина Григорьевна	Председатель
ТИК №  5	Санкт-Петербургская избирательная комиссия	Давыдкина Алла Юрьевна	Зам.председателя
ТИК №  5	Санкт-Петербургская избирательная комиссия	Белогубова Ирина Геннадьевна	Секретарь
ТИК №  5	Санкт-Петербургская избирательная комиссия	Должиков Виктор Васильевич	Член
ТИК №  5	Санкт-Петербургская избирательная комиссия	Малолеткин Валерий Анатольевич	Член
ТИК №  5	Санкт-Петербургская избирательная комиссия	Марилов Игорь Геннадьевич	Член
ТИК №  5	Санкт-Петербургская избирательная комиссия	Марков Андрей Константинович	Член
ТИК №  5	Санкт-Петербургская избирательная комиссия	Новошеня Николай Михайлович	Член
ТИК №  5	Санкт-Петербургская избирательная комиссия	Орлова Надежда Петровна	Член
ТИК №  5	Санкт-Петербургская избирательная комиссия	Протасова Наталья Петровна	Член
ТИК №  5	Санкт-Петербургская избирательная комиссия	Прусаков Андрей Александрович	Член
ТИК №  5	Санкт-Петербургская избирательная комиссия	Пыхтеев Антон Сергеевич	Член
ТИК №  5	Санкт-Петербургская избирательная комиссия	Трофимова Татьяна Андреевна	Член
ТИК №  6	Санкт-Петербургская избирательная комиссия	Майорова Дарья Александровна	Председатель
ТИК №  6	Санкт-Петербургская избирательная комиссия	Кузьмин Константин Сергеевич	Зам.председателя
ТИК №  6	Санкт-Петербургская избирательная комиссия	Ивашкевич Марина Михайловна	Секретарь
ТИК №  6	Санкт-Петербургская избирательная комиссия	Андреев Александр Анатольевич	Член
ТИК №  6	Санкт-Петербургская избирательная комиссия	Басенко Татьяна Михайловна	Член
ТИК №  6	Санкт-Петербургская избирательная комиссия	Горбунов Андрей Вениаминович	Член
ТИК №  6	Санкт-Петербургская избирательная комиссия	Данилова Екатерина Алексеевна	Член
ТИК №  6	Санкт-Петербургская избирательная комиссия	Кравцова Наталья Сергеевна	Член
ТИК №  6	Санкт-Петербургская избирательная комиссия	Матанцева Мария Владимировна	Член
ТИК №  6	Санкт-Петербургская избирательная комиссия	Панов Николай Николаевич	Член
ТИК №  6	Санкт-Петербургская избирательная комиссия	Стрельников Дмитрий Александрович	Член
ТИК №  6	Санкт-Петербургская избирательная комиссия	Суворова Елена Александровна	Член
ТИК №  6	Санкт-Петербургская избирательная комиссия	Федорова Светлана Владиславовна	Член
ТИК №  7	Санкт-Петербургская избирательная комиссия	Шишкин Виктор Викторович	Председатель
ТИК №  7	Санкт-Петербургская избирательная комиссия	Савостьянов Никита Игоревич	Зам.председателя
ТИК №  7	Санкт-Петербургская избирательная комиссия	Есаулова Елена Александровна	Секретарь
ТИК №  7	Санкт-Петербургская избирательная комиссия	Верещака Владимир Александрович	Член
ТИК №  7	Санкт-Петербургская избирательная комиссия	Козичев Михаил Владиславович	Член
ТИК №  7	Санкт-Петербургская избирательная комиссия	Новиков Александр Викторович	Член
ТИК №  7	Санкт-Петербургская избирательная комиссия	Осипов Алексей Анатольевич	Член
ТИК №  7	Санкт-Петербургская избирательная комиссия	Панкратов Антон Александрович	Член
ТИК №  7	Санкт-Петербургская избирательная комиссия	Привалов Юрий Алексеевич	Член
ТИК №  7	Санкт-Петербургская избирательная комиссия	Савельев Иван Игоревич	Член
ТИК №  7	Санкт-Петербургская избирательная комиссия	Синельщикова Ирина Николаевна	Член
ТИК №  7	Санкт-Петербургская избирательная комиссия	Стронговская Светлана Юрьевна	Член
ТИК №  7	Санкт-Петербургская избирательная комиссия	Чертов Виталий Олегович	Член
ТИК №  8	Санкт-Петербургская избирательная комиссия	Сафонова Инесса Ивановна	Председатель
ТИК №  8	Санкт-Петербургская избирательная комиссия	Константинова Татьяна Валерьевна	Зам.председателя
ТИК №  8	Санкт-Петербургская избирательная комиссия	Селезнева Наталья Николаевна	Секретарь
ТИК №  8	Санкт-Петербургская избирательная комиссия	Венгеров Виктор Вячеславович	Член
ТИК №  8	Санкт-Петербургская избирательная комиссия	Епифанова Екатерина Игоревна	Член
ТИК №  8	Санкт-Петербургская избирательная комиссия	Ермакова Елена Анатольевна	Член
ТИК №  8	Санкт-Петербургская избирательная комиссия	Ершова Ирина Анатольевна	Член
ТИК №  8	Санкт-Петербургская избирательная комиссия	Капитанская Ольга Дмитриевна	Член
ТИК №  8	Санкт-Петербургская избирательная комиссия	Рогожина Татьяна Валентиновна	Член
ТИК №  8	Санкт-Петербургская избирательная комиссия	Рочева Нина Константиновна	Член
ТИК №  8	Санкт-Петербургская избирательная комиссия	Трубеева Вероника Сергеевна	Член
ТИК №  8	Санкт-Петербургская избирательная комиссия	Упорова Татьяна Владимировна	Член
ТИК №  8	Санкт-Петербургская избирательная комиссия	Шлыков Игорь Олегович	Член
ТИК №  9	Санкт-Петербургская избирательная комиссия	Субботин Вячеслав Михайлович	Председатель
ТИК №  9	Санкт-Петербургская избирательная комиссия	Назаров Денис Леонидович	Зам.председателя
ТИК №  9	Санкт-Петербургская избирательная комиссия	Архипова Евгения Сергеевна	Секретарь
ТИК №  9	Санкт-Петербургская избирательная комиссия	Блюм Евгений Юрьевич	Член
ТИК №  9	Санкт-Петербургская избирательная комиссия	Волкова Ольга Александровна	Член
ТИК №  9	Санкт-Петербургская избирательная комиссия	Вьюнов Андрей Дмитриевич	Член
ТИК №  9	Санкт-Петербургская избирательная комиссия	Зайцев Андрей Викторович	Член
ТИК №  9	Санкт-Петербургская избирательная комиссия	Клопков Игорь Валерьевич	Член
ТИК №  9	Санкт-Петербургская избирательная комиссия	Мишутина Дарья Сергеевна	Член
ТИК №  9	Санкт-Петербургская избирательная комиссия	Орлова Екатерина Игоревна	Член
ТИК №  9	Санкт-Петербургская избирательная комиссия	Семеркин Денис Игоревич	Член
ТИК №  9	Санкт-Петербургская избирательная комиссия	Спирова Ольга Ивановна	Член
ТИК №  9	Санкт-Петербургская избирательная комиссия	Степанюк Ольга Александровна	Член
ТИК № 10	Санкт-Петербургская избирательная комиссия	Рубанов Николай Сергеевич	Председатель
ТИК № 10	Санкт-Петербургская избирательная комиссия	Блюмгардт Дмитрий Александрович	Зам.председателя
ТИК № 10	Санкт-Петербургская избирательная комиссия	Чернышева Галина Ивановна	Секретарь
ТИК № 10	Санкт-Петербургская избирательная комиссия	Агеенко Михаил Алексеевич	Член
ТИК № 10	Санкт-Петербургская избирательная комиссия	Александров Леонид Иванович	Член
ТИК № 10	Санкт-Петербургская избирательная комиссия	Давыдова Алия Бариевна	Член
ТИК № 10	Санкт-Петербургская избирательная комиссия	Ишмейкин Вадим Юрьевич	Член
